Family,Genus,Species,Author,Date,Citation,Common Name,Home Range,Island? Y/N,Area of Homerange kmsq,Reference for Area,
Pteropodidae,Pteralopex,flanneryi,Helgen,2005,Syst. Biodivers.,Flannery&apos;s Monkey-faced Fruit Bat,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Pteralopex,pulchra,Flannery,1991,Rec. Aust. Mus.,Montane Monkey-faced Fruit Bat,"Solomon Isls, Guadacanal",yes,,,
Pteropodidae,Pteralopex,taki,Parnaby,2002,Aust. Mammal.,New Georgian Monkey-faced Bat,"Solomon Isls, New Georgia Isl,",yes,,,
Pteropodidae,Pteropus,admiralitatum,Thomas,1894,Ann. Mag. Nat. Hist.,Admiralty Flying Fox,"Papua New Guinea, Bismarck Arch., Admiralty Isls.",yes,,,
Pteropodidae,Pteropus,aldabrensis,TRUE,1893,Proc. U.S. Natl. Mus.,Aldabra Flying Fox,"Seychelles, Aldabra Isl.",yes,,,
Pteropodidae,Pteropus,alecto,Temminck,1837,Monogr. Mamm.,Black Flying Fox,"Indonesia,Sulawesi, Menado",yes,,,
Pteropodidae,Pteropus,allenorum,"Helgen, Helgen & Wilson",2009,Am. Mus. Novitates,Allen&apos;s Flying Fox,Samoa,yes,,,
Pteropodidae,Pteropus,anetianus,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Vanuatu Flying Fox,"Vanuatu, Aneiteum",yes,,,
Pteropodidae,Pteropus,aruensis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Aru Flying Fox,"Indonesia, Aru Isls",yes,,,
Pteropodidae,Pteropus,brunneus,Dobson,1878,Cat. Chiroptera Brit. Mus.,Dusky Flying Fox,"Australia, Queensland, Percy Isl",no,,,
Pteropodidae,Pteropus,caniceps,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",North Moluccan Flying Fox,"Indonesia, Maluku, Halmahera, Batjan",yes,,,
Pteropodidae,Pteropus,capistratus,Peters,1876,Monatsb. K. Preuss. Akad. Wiss. Berlin,Bismark Masked Flying Fox,Papua New Guinea,yes,,,
Pteropodidae,Pteropus,chrysoproctus,Temminck,1837,Monogr. Mamm.,Moluccan Flying Fox,"Indonesia, Maluku, Ambon",yes,,,
Pteropodidae,Pteropus,cognatus,K. Andersen,1908,Ann. Mag. Nat. Hist.,Makira Flying Fox,"Solomon Isl, Makira",yes,,,
Pteropodidae,Pteropus,conspicillatus,Gould,1850,Proc. Zool. Soc. Lond.,Spectacled Flying Fox,"Australia, Queensland, Fitzroy Isl",yes,,,
Pteropodidae,Pteropus,coxi,"Helgen, Helgen & Wilson",2009,Am. Mus. Novitates,Cox&apos;s Flying Fox,Samoa,yes,,,
Pteropodidae,Pteropus,dasymallus,Temminck,1825,Monogr. Mamm.,Ryukyu Flying Fox,"Japan, Ryukyu Isls, Kuchinoerabu Isl",yes,,,
Pteropodidae,Pteropus,ennisae,Flannery & White,1991,Natl. Geo. Res. Exp.,Island Flying Fox,Papua New Guinea,yes,,,
Pteropodidae,Pteropus,faunulus,Miller,1902,Proc. U.S. Natl. Mus.,Nicobar Flying Fox,"India, Nicobar Isls, Car Nicobar Isl",yes,,,
Pteropodidae,Pteropus,fundatus,Felten and Kock,1972,Senckenberg. Biol.,Banks Flying Fox,"Vanuatu, Banks Isls, Mota Isl",yes,,,
Pteropodidae,Pteropus,gilliardorum,Van Deusen,1969,Am. Mus. Novitates,Gilliard's Flying Fox,"Papua New Guinea, Bismarck Arch.",yes,,,
Pteropodidae,Pteropus,griseus,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Gray Flying Fox,"Indonesia, Lesser Sunda Isls, Timor",yes,,,
Pteropodidae,Pteropus,howensis,Troughton,1931,Proc. Linn. Soc. N.S.W.,Ontong Java Flying Fox,"Solomon Isls, Ontong Java Isl",yes,,,
Pteropodidae,Pteropus,hypomelanus,Temminck,1853,Esquisses Zool. sur la C&ocirc;te de Guine,Variable Flying Fox,"Indonesia, Molucca Isls, Ternate Isl",yes,,,
Pteropodidae,Pteropus,intermedius,K. Andersen,1908,Ann. Mag. Nat. Hist.,Andersen's Flying Fox,Burma,no,,,
Pteropodidae,Pteropus,keyensis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Kei Flying Fox,Indonesia,yes,,,
Pteropodidae,Pteropus,livingstonii,Gray,1866,Proc. Zool. Soc. Lond.,Comoro Flying Fox,"Comoro Isls, Anjouan Isl",yes,,,
Pteropodidae,Pteropus,lombocensis,Dobson,1878,Cat. Chiroptera Brit. Mus.,Lombok Flying Fox,"Indonesia, Lesser Sunda Isls, Lombok Isl.",yes,,,
Pteropodidae,Pteropus,loochoensis,Gray,1870,"Cat. Monkeys, Lemurs and Fruit-eating Bats, British Museum",Japanese Flying Fox,"Japan, Okinawa",yes,,,
Pteropodidae,Pteropus,lylei,K. Andersen,1908,Ann. Mag. Nat. Hist.,Lyle's Flying Fox,"Thailand, Bangkok",yes,,,
Pteropodidae,Pteropus,macrotis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Big-eared Flying Fox,"Solomon Isls, Ysabel Isl, Tunnibul",yes,,,
Pteropodidae,Pteropus,mahaganus,Sanborn,1931,"Field Mus. Nat. Hist. Publ., Zool. Ser.",Sanborn's Flying Fox,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Pteropus,mariannus,Desmarest,1822,"Mammalogie, in Encycl. M&eacute;th.",Marianas Flying Fox,"West Pacific, Mariana Isls, Guam (USA)",yes,,,
Pteropodidae,Pteropus,medius,Temminck,1825,Monogr. Mamm.,Indian Flying Fox,,no,,,
Pteropodidae,Pteropus,melanopogon,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Black-bearded Flying Fox,"Indonesia, Molucca Isls, Amboina",yes,,,
