Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Pteropus,fundatus,Pteropus fundatus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5,21,Helgen et al. 2009
Chiroptera,Pteropodidae,Pteropus,gilliardorum,Pteropus gilliardorum,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,gilliardorum,Pteropus gilliardorum,M,NA,NA,NA,NA,NA,NA,NA,19.5,2,Van Deusen 1969,105.5,2,Phillips 2012
Chiroptera,Pteropodidae,Pteropus,howensis,Pteropus howensis,F,NA,NA,NA,NA,NA,NA,NA,21.5,4,Phillips 2012,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,howensis,Pteropus howensis,M,NA,NA,NA,NA,NA,NA,NA,21.5,4,Phillips 2012,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,hypomelanus,Pteropus hypomelanus,F,437.5,NA,Heaney and Roberts 2010,NA,59.75,NA,Jones and Kunz 2000,30,NA,Jones and Kunz 2000,135.5,NA,Jones and Kunz 2000
Chiroptera,Pteropodidae,Pteropus,hypomelanus,Pteropus hypomelanus,M,437.5,NA,Heaney and Roberts 2010,NA,59.75,NA,Jones and Kunz 2000,30,NA,Jones and Kunz 2000,135.5,NA,Jones and Kunz 2000
Chiroptera,Pteropodidae,Pteropus,intermedius,Pteropus intermedius,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,intermedius,Pteropus intermedius,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,keyensis,Pteropus keyensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,keyensis,Pteropus keyensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
