"roost_site","latitude_s","longitude_e","researchers_present","collection_date","net_night","bat_species","sampleid"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND19"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Eidolon dupreanum","AND20"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Eidolon dupreanum","AND21"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Eidolon dupreanum","AND22"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Eidolon dupreanum","AND23"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND15"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Hipposideros commersoni","HIP7"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Hipposideros commersoni","HIP8"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Rousettus madagascariensis","ROU31"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Rousettus madagascariensis","ROU32"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","3","Rousettus madagascariensis","ROU33"
"Marovitsika","-18.8403","48.0554","CB, CR, YL","8/23/2014","1","Pteropus rufus","MARO35"
"Marovitsika","-18.8403","48.0554","CB, CR, YL","8/23/2014","1","Pteropus rufus","MARO36"
"Marovitsika","-18.8403","48.0554","CB, CR, YL","8/23/2014","1","Pteropus rufus","MARO37"
"Marovitsika","-18.8403","48.0554","CB, CR, YL","8/23/2014","1","Pteropus rufus","MARO38"
"Marovitsika","-18.8403","48.0554","CB","8/24/2014","2","Pteropus rufus","MARO39"
"Marovitsika","-18.8403","48.0554","CB","8/31/2014","3","Pteropus rufus","MARO40"
"Marovitsika","-18.8403","48.0554","CB","9/1/2014","4","Pteropus rufus","MARO41"
"Marovitsika","-18.8403","48.0554","CB","9/1/2014","4","Pteropus rufus","MARO42"
"Marovitsika","-18.8403","48.0554","CB","9/1/2014","4","Pteropus rufus","MARO43"
"Ambakoana","-18.513","48.1665","CB, CR","9/6/2014","1","Pteropus rufus","AMB35"
"Ambakoana","-18.513","48.1665","CB, CR","9/8/2014","3","Pteropus rufus","AMB36"
"Ambakoana","-18.513","48.1665","CB, CR","9/9/2014","4","Pteropus rufus","AMB37"
"Ambakoana","-18.513","48.1665","CB, CR","9/12/2014","7","Pteropus rufus","AMB38"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Mormopterus jugularis","LMIZ1"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ1"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ2"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ3"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ4"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ5"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ6"
"Maromizaha","-18.9623","48.4525","CB, CR","10/3/2014","1","Rousettus madagascariensis","MIZ7"
"AngavoBe","-18.944","47.9491","CB, CR","10/4/2014","1","Eidolon dupreanum","ANGB42"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","1","Rousettus madagascariensis","MIZ10"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","1","Rousettus madagascariensis","MIZ11"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","1","Rousettus madagascariensis","MIZ12"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","1","Rousettus madagascariensis","MIZ13"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","1","Rousettus madagascariensis","MIZ14"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ15"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ16"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ17"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ18"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ19"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ20"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ21"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ22"
"Maromizaha","-18.9623","48.4525","CB, CR","10/4/2014","2","Rousettus madagascariensis","MIZ23"
